Iteration,GradientNorm
1,58302
2,46588.5
3,37228.4
4,29748.9
5,23772.1
6,18996.2
7,15179.7
8,12130
9,9693.07
10,7745.69
11,6189.56
12,4946.06
13,3952.38
14,3158.34
15,2523.82
16,2016.78
17,1611.6
18,1287.83
19,1029.1
20,822.349
21,657.136
22,525.115
23,419.617
24,335.314
25,267.947
26,214.114
27,171.097
28,136.722
29,109.252
30,87.3018
31,69.7612
32,55.7446
33,44.5439
34,35.5938
35,28.4416
36,22.7269
37,18.1599
38,14.5112
39,11.595
40,9.26545
41,7.40326
42,5.91603
43,4.72685
44,3.77744
45,3.01798
46,2.41195
47,1.92688
48,1.5401
49,1.23022
50,0.983429
51,0.785404
52,0.627997
53,0.501393
54,0.401056
55,0.320054
56,0.256156
57,0.204271
58,0.163639
59,0.130345
60,0.104568
61,0.0831448
62,0.0668535
63,0.0530097
64,0.0427752
65,0.0337716
66,0.027405
67,0.021493
68,0.0175969
69,0.0136607
70,0.0113432
71,0.00867186
72,0.00736356
73,0.00550559
74,0.00484223
75,0.00351432
76,0.00326037
