Iteration,GradientNorm
1,58302
2,46588.5
3,37228.4
4,29748.9
5,23772.1
6,18996.2
7,15179.7
8,12130.1
9,9693.07
10,7745.7
11,6189.57
12,4946.06
13,3952.39
14,3158.34
15,2523.83
16,2016.78
17,1611.61
18,1287.83
19,1029.11
20,822.358
21,657.145
22,525.124
23,419.626
24,335.323
25,267.956
26,214.123
27,171.106
28,136.73
29,109.261
30,87.3105
31,69.7698
32,55.753
33,44.5522
34,35.6016
35,28.4492
36,22.7337
37,18.1665
38,14.5168
39,11.6004
40,9.26987
41,7.40755
42,5.91936
43,4.73016
44,3.77987
45,3.02049
46,2.41367
47,1.92876
48,1.54127
49,1.23163
50,0.984194
51,0.786469
52,0.628467
53,0.502207
54,0.401313
55,0.320689
56,0.256263
57,0.204779
58,0.163639
59,0.130764
60,0.104493
61,0.0835005
62,0.0667252
63,0.05332
64,0.042608
65,0.034048
66,0.0272077
67,0.0217417
68,0.0173738
69,0.0138834
70,0.0110942
71,0.00886535
72,0.0070843
73,0.00566106
74,0.00452375
75,0.00361492
