Iteration,GradientNorm
525,181.907
526,181.616
527,181.326
528,181.037
529,180.748
530,180.461
531,180.174
532,179.888
533,179.602
534,179.318
535,179.034
536,178.752
537,178.47
538,178.189
539,177.908
540,177.629
541,177.35
542,177.072
543,176.794
544,176.518
545,176.242
546,175.967
547,175.693
548,175.42
549,175.147
550,174.875
551,174.604
552,174.334
553,174.064
554,173.795
555,173.527
556,173.26
557,172.993
558,172.727
559,172.462
560,172.197
561,171.933
562,171.67
563,171.408
564,171.146
565,170.885
566,170.625
567,170.366
568,170.107
569,169.849
570,169.591
571,169.335
572,169.078
573,168.823
574,168.568
575,168.314
576,168.061
577,167.808
578,167.556
579,167.305
580,167.054
581,166.804
582,166.555
583,166.306
584,166.058
585,165.811
586,165.564
587,165.318
588,165.073
589,164.828
590,164.584
591,164.34
592,164.097
593,163.855
594,163.613
595,163.372
596,163.132
597,162.892
598,162.653
599,162.415
600,162.177
601,161.939
602,161.703
603,161.466
604,161.231
605,160.996
606,160.762
607,160.528
608,160.295
609,160.062
610,159.83
611,159.599
612,159.368
613,159.138
614,158.909
615,158.68
616,158.451
617,158.223
618,157.996
619,157.769
620,157.543
621,157.317
622,157.092
623,156.868
624,156.644
625,156.421
626,156.198
627,155.975
628,155.754
629,155.533
630,155.312
631,155.092
632,154.872
633,154.653
634,154.435
635,154.217
636,153.999
637,153.783
638,153.566
639,153.35
640,153.135
641,152.92
642,152.706
643,152.492
644,152.279
645,152.066
646,151.854
647,151.643
648,151.431
649,151.221
650,151.011
651,150.801
652,150.592
653,150.383
654,150.175
655,149.967
656,149.76
657,149.554
658,149.348
659,149.142
660,148.937
661,148.732
662,148.528
663,148.324
664,148.121
665,147.918
666,147.716
667,147.514
668,147.313
669,147.112
670,146.911
671,146.711
672,146.512
673,146.313
674,146.114
675,145.916
676,145.719
677,145.521
678,145.325
679,145.129
680,144.933
681,144.737
682,144.543
683,144.348
684,144.154
685,143.961
686,143.767
687,143.575
688,143.383
689,143.191
690,143
691,142.809
692,142.618
693,142.428
694,142.239
695,142.049
696,141.861
697,141.672
698,141.485
699,141.297
700,141.11
701,140.924
702,140.737
703,140.552
704,140.366
705,140.181
706,139.997
707,139.813
708,139.629
709,139.446
710,139.263
711,139.081
712,138.899
713,138.717
714,138.536
715,138.355
716,138.175
717,137.995
718,137.815
719,137.636
720,137.457
721,137.278
722,137.1
723,136.923
724,136.746
725,136.569
726,136.392
727,136.216
728,136.041
729,135.865
730,135.69
731,135.516
732,135.342
733,135.168
734,134.994
735,134.821
736,134.649
737,134.477
738,134.305
739,134.133
740,133.962
741,133.791
742,133.621
743,133.451
744,133.281
745,133.112
746,132.943
747,132.774
748,132.606
749,132.438
750,132.271
751,132.104
752,131.937
753,131.771
754,131.605
755,131.439
756,131.274
757,131.109
758,130.944
759,130.78
760,130.616
761,130.452
762,130.289
763,130.126
764,129.964
765,129.801
766,129.64
767,129.478
768,129.317
769,129.156
770,128.996
771,128.835
772,128.676
773,128.516
774,128.357
775,128.198
776,128.04
777,127.882
778,127.724
779,127.566
780,127.409
781,127.252
782,127.096
783,126.94
784,126.784
785,126.628
786,126.473
787,126.318
788,126.164
789,126.009
790,125.856
791,125.702
792,125.549
793,125.396
794,125.243
795,125.091
796,124.939
797,124.787
798,124.636
799,124.485
800,124.334
801,124.183
802,124.033
803,123.883
804,123.734
805,123.585
806,123.436
807,123.287
808,123.139
809,122.991
810,122.843
811,122.695
812,122.548
813,122.402
814,122.255
815,122.109
816,121.963
817,121.817
818,121.672
819,121.527
820,121.382
821,121.238
822,121.093
823,120.95
824,120.806
825,120.663
826,120.52
827,120.377
828,120.234
829,120.092
830,119.95
831,119.809
832,119.668
833,119.526
834,119.386
835,119.245
836,119.105
837,118.965
838,118.826
839,118.686
840,118.547
841,118.408
842,118.27
843,118.132
844,117.994
845,117.856
846,117.718
847,117.581
848,117.444
849,117.308
850,117.171
851,117.035
852,116.9
853,116.764
854,116.629
855,116.494
856,116.359
857,116.224
858,116.09
859,115.956
860,115.823
861,115.689
862,115.556
863,115.423
864,115.29
865,115.158
866,115.026
867,114.894
868,114.762
869,114.631
870,114.5
871,114.369
872,114.238
873,114.108
874,113.978
875,113.848
876,113.718
877,113.589
878,113.46
879,113.331
880,113.202
881,113.074
882,112.946
883,112.818
884,112.69
885,112.563
886,112.436
887,112.309
888,112.182
889,112.056
890,111.93
891,111.804
892,111.678
893,111.553
894,111.427
895,111.302
896,111.178
897,111.053
898,110.929
899,110.805
900,110.681
901,110.558
902,110.434
903,110.311
904,110.188
905,110.066
906,109.943
907,109.821
908,109.699
909,109.577
910,109.456
911,109.335
912,109.214
913,109.093
914,108.972
915,108.852
916,108.732
917,108.612
918,108.492
919,108.373
920,108.254
921,108.135
922,108.016
923,107.897
924,107.779
925,107.661
926,107.543
927,107.425
928,107.308
929,107.191
930,107.074
931,106.957
932,106.84
933,106.724
934,106.608
935,106.492
936,106.376
937,106.261
938,106.145
939,106.03
940,105.915
941,105.801
942,105.686
943,105.572
944,105.458
945,105.344
946,105.231
947,105.117
948,105.004
949,104.891
950,104.778
951,104.666
952,104.553
953,104.441
954,104.329
955,104.217
956,104.106
957,103.995
958,103.883
959,103.773
960,103.662
961,103.551
962,103.441
963,103.331
964,103.221
965,103.111
966,103.002
967,102.892
968,102.783
969,102.674
970,102.565
971,102.457
972,102.349
973,102.24
974,102.132
975,102.025
976,101.917
977,101.81
978,101.703
979,101.596
980,101.489
981,101.382
982,101.276
983,101.17
984,101.064
985,100.958
986,100.852
987,100.747
988,100.641
989,100.536
990,100.431
991,100.327
992,100.222
993,100.118
994,100.014
995,99.9097
996,99.806
997,99.7024
998,99.599
999,99.4958
1000,99.3927
1001,99.2899
1002,99.1872
1003,99.0847
1004,98.9824
1005,98.8803
1006,98.7783
1007,98.6765
1008,98.575
1009,98.4736
1010,98.3723
1011,98.2713
1012,98.1704
1013,98.0697
1014,97.9692
1015,97.8689
1016,97.7687
1017,97.6687
1018,97.5689
1019,97.4693
1020,97.3698
1021,97.2705
1022,97.1714
1023,97.0725
1024,96.9737
1025,96.8751
1026,96.7767
1027,96.6785
1028,96.5804
1029,96.4825
1030,96.3848
1031,96.2872
1032,96.1898
1033,96.0926
1034,95.9955
1035,95.8987
1036,95.8019
1037,95.7054
1038,95.609
1039,95.5128
1040,95.4168
1041,95.3209
1042,95.2252
1043,95.1296
1044,95.0343
1045,94.9391
1046,94.844
1047,94.7491
1048,94.6544
1049,94.5599
1050,94.4655
1051,94.3712
1052,94.2772
1053,94.1833
1054,94.0895
1055,93.996
1056,93.9025
1057,93.8093
1058,93.7162
1059,93.6232
1060,93.5305
1061,93.4378
1062,93.3454
1063,93.2531
1064,93.1609
1065,93.069
1066,92.9771
1067,92.8855
1068,92.794
1069,92.7026
1070,92.6114
1071,92.5204
1072,92.4295
1073,92.3387
1074,92.2482
1075,92.1577
1076,92.0675
1077,91.9774
1078,91.8874
1079,91.7976
1080,91.7079
1081,91.6184
1082,91.5291
1083,91.4399
1084,91.3508
1085,91.2619
1086,91.1732
1087,91.0846
1088,90.9961
1089,90.9079
1090,90.8197
1091,90.7317
1092,90.6439
1093,90.5562
1094,90.4686
1095,90.3812
1096,90.2939
1097,90.2068
1098,90.1199
1099,90.0331
1100,89.9464
1101,89.8599
1102,89.7735
1103,89.6873
1104,89.6012
1105,89.5152
1106,89.4294
1107,89.3438
1108,89.2583
1109,89.1729
1110,89.0877
1111,89.0026
1112,88.9177
1113,88.8329
1114,88.7482
1115,88.6637
1116,88.5793
1117,88.4951
1118,88.411
1119,88.327
1120,88.2432
1121,88.1596
1122,88.076
1123,87.9926
1124,87.9094
1125,87.8263
1126,87.7433
1127,87.6605
1128,87.5778
1129,87.4952
1130,87.4128
1131,87.3305
1132,87.2483
1133,87.1663
1134,87.0844
1135,87.0027
1136,86.9211
1137,86.8396
1138,86.7583
1139,86.6771
1140,86.596
1141,86.515
1142,86.4342
1143,86.3536
1144,86.273
1145,86.1926
1146,86.1124
1147,86.0322
1148,85.9522
1149,85.8723
1150,85.7926
1151,85.713
1152,85.6335
1153,85.5541
1154,85.4749
1155,85.3958
1156,85.3169
1157,85.238
1158,85.1593
1159,85.0807
1160,85.0023
1161,84.924
1162,84.8458
1163,84.7677
1164,84.6898
1165,84.612
1166,84.5343
1167,84.4568
1168,84.3793
1169,84.302
1170,84.2249
1171,84.1478
1172,84.0709
1173,83.9941
1174,83.9174
1175,83.8409
1176,83.7644
1177,83.6881
1178,83.612
1179,83.5359
1180,83.46
1181,83.3842
1182,83.3085
1183,83.2329
1184,83.1575
1185,83.0822
1186,83.007
1187,82.9319
1188,82.857
1189,82.7821
1190,82.7074
1191,82.6329
1192,82.5584
1193,82.484
1194,82.4098
1195,82.3357
1196,82.2617
1197,82.1878
1198,82.1141
1199,82.0405
1200,81.967
1201,81.8936
1202,81.8203
1203,81.7471
1204,81.6741
1205,81.6012
1206,81.5284
1207,81.4557
1208,81.3831
1209,81.3106
1210,81.2383
1211,81.1661
1212,81.094
1213,81.022
1214,80.9501
1215,80.8783
1216,80.8067
1217,80.7351
1218,80.6637
1219,80.5924
1220,80.5212
1221,80.4501
1222,80.3792
1223,80.3083
1224,80.2376
1225,80.167
1226,80.0964
1227,80.026
1228,79.9557
1229,79.8856
1230,79.8155
1231,79.7455
1232,79.6757
1233,79.606
1234,79.5363
1235,79.4668
1236,79.3974
1237,79.3281
1238,79.2589
1239,79.1899
1240,79.1209
1241,79.052
1242,78.9833
1243,78.9147
1244,78.8461
1245,78.7777
1246,78.7094
1247,78.6412
1248,78.5731
1249,78.5051
1250,78.4372
1251,78.3694
1252,78.3018
1253,78.2342
1254,78.1668
1255,78.0994
1256,78.0322
1257,77.965
1258,77.898
1259,77.8311
1260,77.7642
1261,77.6975
1262,77.6309
1263,77.5644
1264,77.498
1265,77.4317
1266,77.3655
1267,77.2994
1268,77.2334
1269,77.1675
1270,77.1017
1271,77.036
1272,76.9705
1273,76.905
1274,76.8396
1275,76.7743
1276,76.7092
1277,76.6441
1278,76.5791
1279,76.5143
1280,76.4495
1281,76.3848
1282,76.3203
1283,76.2558
1284,76.1914
1285,76.1272
1286,76.063
1287,75.9989
1288,75.935
1289,75.8711
1290,75.8073
1291,75.7437
1292,75.6801
1293,75.6166
1294,75.5533
1295,75.49
1296,75.4268
1297,75.3637
1298,75.3007
1299,75.2379
1300,75.1751
1301,75.1124
1302,75.0498
1303,74.9873
1304,74.9249
1305,74.8626
1306,74.8004
1307,74.7383
1308,74.6763
1309,74.6143
1310,74.5525
1311,74.4908
1312,74.4291
1313,74.3676
1314,74.3062
1315,74.2448
1316,74.1835
1317,74.1224
1318,74.0613
1319,74.0003
1320,73.9395
1321,73.8787
1322,73.818
1323,73.7574
1324,73.6969
1325,73.6364
1326,73.5761
1327,73.5159
1328,73.4557
1329,73.3957
1330,73.3357
1331,73.2759
1332,73.2161
1333,73.1564
1334,73.0968
1335,73.0373
1336,72.9779
1337,72.9186
1338,72.8593
1339,72.8002
1340,72.7412
1341,72.6822
1342,72.6233
1343,72.5645
1344,72.5059
1345,72.4472
1346,72.3887
1347,72.3303
1348,72.272
1349,72.2137
1350,72.1556
1351,72.0975
1352,72.0395
1353,71.9816
1354,71.9238
1355,71.8661
1356,71.8085
1357,71.7509
1358,71.6934
1359,71.6361
1360,71.5788
1361,71.5216
1362,71.4645
1363,71.4074
1364,71.3505
1365,71.2936
1366,71.2369
1367,71.1802
1368,71.1236
1369,71.0671
1370,71.0107
1371,70.9543
1372,70.898
1373,70.8419
1374,70.7858
1375,70.7298
1376,70.6739
1377,70.618
1378,70.5623
1379,70.5066
1380,70.451
1381,70.3955
1382,70.3401
1383,70.2847
1384,70.2295
1385,70.1743
1386,70.1192
1387,70.0642
1388,70.0093
1389,69.9544
1390,69.8997
1391,69.845
1392,69.7904
1393,69.7359
1394,69.6815
1395,69.6271
1396,69.5728
1397,69.5186
1398,69.4645
1399,69.4105
1400,69.3565
1401,69.3027
1402,69.2489
1403,69.1952
1404,69.1415
1405,69.088
1406,69.0345
1407,68.9811
1408,68.9278
1409,68.8746
1410,68.8214
1411,68.7683
1412,68.7154
1413,68.6624
1414,68.6096
1415,68.5568
1416,68.5041
1417,68.4515
1418,68.399
1419,68.3466
1420,68.2942
1421,68.2419
1422,68.1897
1423,68.1375
1424,68.0855
1425,68.0335
1426,67.9816
1427,67.9297
1428,67.878
1429,67.8263
1430,67.7747
1431,67.7231
1432,67.6717
1433,67.6203
1434,67.569
1435,67.5178
1436,67.4666
1437,67.4155
1438,67.3645
1439,67.3136
1440,67.2627
1441,67.212
1442,67.1613
1443,67.1106
1444,67.0601
1445,67.0096
1446,66.9592
1447,66.9088
1448,66.8586
1449,66.8084
1450,66.7583
1451,66.7082
1452,66.6583
1453,66.6084
1454,66.5585
1455,66.5088
1456,66.4591
1457,66.4095
1458,66.36
1459,66.3105
1460,66.2611
1461,66.2118
1462,66.1626
1463,66.1134
1464,66.0643
1465,66.0153
1466,65.9663
1467,65.9174
1468,65.8686
1469,65.8198
1470,65.7712
1471,65.7226
1472,65.674
1473,65.6256
1474,65.5772
1475,65.5288
1476,65.4806
1477,65.4324
1478,65.3843
1479,65.3362
1480,65.2883
1481,65.2403
1482,65.1925
1483,65.1447
1484,65.097
1485,65.0494
1486,65.0018
1487,64.9543
1488,64.9069
1489,64.8596
1490,64.8123
1491,64.7651
1492,64.7179
1493,64.6708
1494,64.6238
1495,64.5768
1496,64.53
1497,64.4831
1498,64.4364
1499,64.3897
1500,64.3431
1501,64.2966
1502,64.2501
1503,64.2037
1504,64.1573
1505,64.111
1506,64.0648
1507,64.0187
1508,63.9726
1509,63.9266
1510,63.8806
1511,63.8347
1512,63.7889
1513,63.7432
1514,63.6975
1515,63.6518
1516,63.6063
1517,63.5608
1518,63.5154
1519,63.47
1520,63.4247
1521,63.3795
1522,63.3343
1523,63.2892
1524,63.2441
1525,63.1991
1526,63.1542
1527,63.1094
1528,63.0646
1529,63.0199
1530,62.9752
1531,62.9306
1532,62.8861
1533,62.8416
1534,62.7972
1535,62.7529
1536,62.7086
1537,62.6644
1538,62.6202
1539,62.5761
1540,62.5321
1541,62.4881
1542,62.4442
1543,62.4003
1544,62.3566
1545,62.3128
1546,62.2692
1547,62.2256
1548,62.182
1549,62.1386
1550,62.0951
1551,62.0518
1552,62.0085
1553,61.9653
1554,61.9221
1555,61.879
1556,61.8359
1557,61.7929
1558,61.75
1559,61.7072
1560,61.6643
1561,61.6216
1562,61.5789
1563,61.5363
1564,61.4937
1565,61.4512
1566,61.4087
1567,61.3664
1568,61.324
1569,61.2818
1570,61.2395
1571,61.1974
1572,61.1553
1573,61.1133
1574,61.0713
1575,61.0294
1576,60.9875
1577,60.9457
1578,60.904
1579,60.8623
1580,60.8206
1581,60.7791
1582,60.7376
1583,60.6961
1584,60.6547
1585,60.6134
1586,60.5721
1587,60.5309
1588,60.4897
1589,60.4486
1590,60.4075
1591,60.3665
1592,60.3256
1593,60.2847
1594,60.2439
1595,60.2031
1596,60.1624
1597,60.1218
1598,60.0812
1599,60.0406
1600,60.0001
1601,59.9597
1602,59.9193
1603,59.879
1604,59.8387
1605,59.7985
1606,59.7584
1607,59.7183
1608,59.6782
1609,59.6383
1610,59.5983
1611,59.5584
1612,59.5186
1613,59.4789
1614,59.4391
1615,59.3995
1616,59.3599
1617,59.3203
1618,59.2808
1619,59.2414
1620,59.202
1621,59.1627
1622,59.1234
1623,59.0842
1624,59.045
1625,59.0059
1626,58.9668
1627,58.9278
1628,58.8889
1629,58.85
1630,58.8111
1631,58.7723
1632,58.7336
1633,58.6949
1634,58.6562
1635,58.6176
1636,58.5791
1637,58.5406
1638,58.5022
1639,58.4638
1640,58.4255
1641,58.3872
1642,58.349
1643,58.3108
1644,58.2727
1645,58.2347
1646,58.1967
1647,58.1587
1648,58.1208
1649,58.0829
1650,58.0451
1651,58.0074
1652,57.9697
1653,57.932
1654,57.8944
1655,57.8569
1656,57.8194
1657,57.7819
1658,57.7445
1659,57.7072
1660,57.6699
1661,57.6326
1662,57.5954
1663,57.5583
1664,57.5212
1665,57.4842
1666,57.4472
1667,57.4102
1668,57.3733
1669,57.3365
1670,57.2997
1671,57.2629
1672,57.2262
1673,57.1896
1674,57.153
1675,57.1164
1676,57.0799
1677,57.0435
1678,57.0071
1679,56.9707
1680,56.9344
1681,56.8982
1682,56.862
1683,56.8258
1684,56.7897
1685,56.7536
