Iteration,GradientNorm
1,31927.5
2,39450.7
3,28473
4,8777.91
5,5989.93
6,5240.06
7,10243.2
8,106047
9,9198.45
10,1992.5
11,1883.22
12,2100.07
13,16970.4
14,29153.1
15,11102.3
16,4733.74
17,1050.41
18,928.617
19,883.222
20,2935.4
21,21533.2
22,14680.1
23,2606.63
24,1183.37
25,788.444
26,629.992
27,742.651
28,8326.27
29,18383.7
30,1122.48
31,544.722
32,505.02
33,649.759
34,8953.81
35,10204.7
36,4239.96
37,3724.26
38,696.593
39,368.212
40,359.667
41,560.527
42,78193.3
43,62465.2
44,4599.69
45,2105.94
46,965.06
47,206.015
48,203.125
49,1009.31
50,15773.4
51,2082.17
52,305.754
53,195.546
54,183.623
55,250.329
56,15365.6
57,20132.3
58,2822.46
59,470.174
60,227.691
61,166.523
62,156.082
63,691.254
64,12670.2
65,2357.33
66,419.017
67,203.976
68,154.049
69,147.414
70,940.794
71,13978.5
72,1523.66
73,414.972
74,181.17
75,141.808
76,139.685
77,928.595
78,12307
79,3276.05
80,603.828
81,247.581
82,152.096
83,129.287
84,248.591
85,4356.88
86,1575.72
87,133.916
88,125.293
89,173.738
90,2347.7
91,2739.72
92,541.533
93,152.897
94,128.856
95,161.359
96,484.669
97,492.074
98,117.128
99,113.616
100,114.813
101,23784.5
102,444485
103,4550.64
104,1960.48
105,409.863
106,116.884
107,75.1988
108,81.3394
109,312.328
110,809.754
111,90.6215
112,68.3613
113,68.2245
114,909.605
115,188227
116,42080
117,9349.15
118,1452.65
119,485.663
120,186.194
121,125.627
122,102.363
123,433
124,223.243
125,55.458
126,55.1136
127,125.507
128,40411.2
129,42888.2
130,28990.7
131,1026.94
132,664.343
133,319.426
134,163.156
135,161.182
136,547.15
137,131.62
138,54.1178
139,50.0254
140,64.8595
141,1694.94
142,2353.71
143,59.9684
144,49.5697
145,50.7518
146,713.273
147,10372.9
148,176.344
149,63.5411
150,50.8553
151,52.4618
152,301.766
153,2982.25
154,1165.5
155,237.649
156,128.372
157,53.2755
158,50.3517
159,166.816
160,2007.28
161,201.121
162,50.7634
163,49.0042
164,89.4109
165,2687.48
166,1479.88
167,567.565
168,226.094
169,62.5336
170,48.6086
171,49.2345
172,430.609
173,7108.04
174,122.023
175,53.2111
176,47.8521
177,50.8954
178,1731.99
179,12463.5
180,1536.62
181,528.407
182,128.889
183,65.6477
184,48.1963
185,54.9864
186,698.837
187,1930.51
188,136.939
189,49.2295
190,47.0008
191,55.9248
192,2877.65
193,11574.9
194,4742.73
195,855.178
196,432.816
197,111.819
198,55.6156
199,72.8727
200,137.374
201,97.1215
202,47.1719
203,45.9995
204,72.1099
205,11688.9
206,7917.94
207,45.3553
208,45.1193
209,119.235
210,65936.6
211,43057.5
212,11362.9
213,1168.83
214,792.926
215,291.155
216,184.335
217,423.81
218,218.108
219,47.1302
220,44.4828
221,57.9944
222,542.732
223,1014.42
224,904.546
225,269.895
226,47.8548
227,43.8062
228,57.6624
229,333.922
230,368.597
231,201.342
232,237.566
233,43.5476
234,40.976
235,41.2728
236,12481.4
237,791409
238,53909.2
239,9470.75
240,4579.04
241,1190.07
242,305.814
243,436.333
244,81.664
245,44.862
246,41.147
247,47.9898
248,377.181
249,1671.64
250,135.529
251,47.6814
252,39.9218
253,40.2091
254,86.746
255,276.966
256,157.071
257,78.6637
258,49.4691
259,36.661
260,36.3433
261,91.6628
262,691.958
263,117.527
264,34.2658
265,34.2593
266,583.513
267,2.21315e+06
268,2.1139e+06
269,1.98686e+06
270,63558.7
271,37301.7
272,13574.5
273,3273.85
274,4512.41
275,793.936
276,142.011
277,99.6878
278,53.3902
279,93.9912
280,413.003
281,142.061
282,44.0257
283,43.611
284,84.0511
285,16627.4
286,10582.9
287,4297.4
288,366.364
289,189.351
290,114.523
291,38.5452
292,29.4338
293,92.8257
294,143.271
295,24.9325
296,19.0564
297,19.0068
298,249.068
299,91785.4
300,6626.42
301,1344.11
302,544.469
303,324.17
304,173.444
305,197.569
306,834.916
307,99.6916
308,29.4745
309,19.791
310,17.5322
311,24.043
312,296.574
313,386.376
314,137.495
315,29.1204
316,17.2344
317,16.8011
318,26.1174
319,7713.13
320,9363.79
321,824.641
322,63.7352
323,51.3788
324,25.3775
325,37.6888
326,64.43
327,25.6541
328,16.7392
329,16.7252
330,114.463
331,5051.47
332,621.844
333,129.427
334,31.0421
335,19.1586
336,17.6266
337,31.1927
338,659.451
339,312.278
340,19.6409
341,17.1256
342,16.7392
343,110.991
344,4352.69
345,479.27
346,253.855
347,77.3347
348,56.2587
349,38.2094
350,45.817
351,274.797
352,45.6456
353,16.6242
354,16.4497
355,49.823
356,7031.81
357,1623.74
358,1526.12
359,379.079
360,31.1351
361,21.2691
362,17.4754
363,22.9688
364,147.488
365,152.601
366,20.786
367,17.5641
368,19.7194
369,68.0044
370,139.782
371,18.2798
372,16.228
373,16.2335
374,4359.75
375,4.48974e+06
376,409543
377,89884.1
378,10273.6
379,1322.42
380,463.42
381,237.759
382,149.439
383,89.1853
384,60.8119
385,49.4713
386,70.7047
387,76.3677
388,21.2343
389,17.8367
390,14.8214
391,39.7522
392,871.058
393,142.105
394,16.9214
395,16.1333
396,19.5897
397,34.1544
398,37.29
399,56.3723
400,216.841
401,61.2698
402,14.3969
403,13.6373
404,21.3577
405,284.598
406,232.188
407,91.9247
