Iteration,GradientNorm
1,17.1603
2,10.5032
3,8.90681
4,4.87617
5,2.04246
6,1.21189
7,0.868819
8,0.963729
9,1.06878
10,0.734816
11,0.545792
12,0.436947
13,0.735512
14,0.430099
15,0.321712
16,0.298447
17,0.937534
18,0.456294
19,0.279654
20,0.245899
21,1.2838
22,0.324583
23,0.229636
24,0.197311
25,0.557596
26,0.228096
27,0.177753
28,0.162516
29,2.25173
30,0.413589
31,0.216564
32,0.163808
33,0.133889
34,0.14633
35,0.211464
36,0.207668
37,0.132789
38,0.114313
39,0.248387
40,0.190086
41,0.116344
42,0.101987
43,0.16747
44,0.143972
45,0.0972422
46,0.0877049
47,0.152927
48,0.111291
49,0.0841163
50,0.0792437
51,0.64956
52,0.151563
53,0.0915961
54,0.0786305
55,0.0769098
56,0.197153
57,0.166839
58,0.0945928
59,0.0703366
60,0.0633646
61,0.236582
62,0.0775936
63,0.0612871
64,0.0554727
65,0.239186
66,0.0736608
67,0.0570127
68,0.0517969
69,0.170378
70,0.063896
71,0.0511679
